date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,pred,actual,hit,p_actual,pred_score,score_hit
2026-06-25,Curaçao,Ivory Coast,0,2,0.109,0.221,0.67,away,away,True,0.6700546115130499,0-2,True
2026-06-25,Paraguay,Australia,0,0,0.353,0.311,0.336,home,draw,False,0.3110036353169994,1-1,False
2026-06-25,United States,Turkey,2,3,0.618,0.215,0.167,home,away,False,0.16723998416775723,1-0,False
2026-06-26,Egypt,Iran,1,1,0.373,0.318,0.31,home,draw,False,0.3178544264287519,1-1,True
2026-06-26,New Zealand,Belgium,1,5,0.092,0.222,0.685,away,away,True,0.685172443384568,0-2,False
2026-06-26,Cape Verde,Saudi Arabia,0,0,0.374,0.282,0.344,home,draw,False,0.2822099695292961,1-1,False
2026-06-26,Uruguay,Spain,0,1,0.159,0.227,0.615,away,away,True,0.6148558186606594,0-1,True
2026-06-26,Norway,France,1,4,0.232,0.246,0.523,away,away,True,0.5226517897633617,0-1,False
2026-06-26,Senegal,Iraq,5,0,0.63,0.249,0.121,home,home,True,0.6304544607791334,1-0,False
2026-06-27,Croatia,Ghana,2,1,0.583,0.281,0.136,home,home,True,0.5833911664381293,1-0,False
2026-06-27,Panama,England,0,2,0.12,0.21,0.671,away,away,True,0.6705966026906802,0-2,True
2026-06-27,DR Congo,Uzbekistan,3,1,0.417,0.289,0.294,home,home,True,0.41703294024095117,1-1,False
2026-06-27,Colombia,Portugal,0,0,0.301,0.283,0.416,away,draw,False,0.2834598725623188,1-1,False
2026-06-27,Jordan,Argentina,1,3,0.081,0.092,0.826,away,away,True,0.8261230646889527,0-3,False
2026-06-27,Algeria,Austria,3,3,0.344,0.281,0.375,away,draw,False,0.28108085528375043,1-1,False
2026-06-28,South Africa,Canada,0,1,0.17,0.314,0.516,away,away,True,0.5158305766162886,0-1,True
2026-06-29,Brazil,Japan,2,1,0.532,0.277,0.191,home,home,True,0.5324430184793189,1-1,False
2026-06-29,Germany,Paraguay,1,1,0.57,0.264,0.166,home,draw,False,0.2635479050897442,1-0,False
2026-06-29,Netherlands,Morocco,1,1,0.449,0.301,0.251,home,draw,False,0.30065822559819455,1-1,True
2026-06-30,Ivory Coast,Norway,1,2,0.275,0.268,0.457,away,away,True,0.45728117557221887,1-1,False
2026-06-30,France,Sweden,3,0,0.667,0.244,0.089,home,home,True,0.6674434347597457,2-1,False
2026-06-30,Mexico,Ecuador,2,0,0.362,0.323,0.315,home,home,True,0.36204921652079863,1-0,False
2026-07-01,Belgium,Senegal,3,2,0.433,0.26,0.307,home,home,True,0.43333888402066595,1-1,False
2026-07-01,England,DR Congo,2,1,0.625,0.289,0.085,home,home,True,0.625326184926601,1-0,False
2026-07-01,United States,Bosnia and Herzegovina,2,0,0.674,0.228,0.098,home,home,True,0.6740861721536405,1-0,False
2026-07-02,Portugal,Croatia,2,1,0.52,0.273,0.206,home,home,True,0.5204549035664411,1-1,False
2026-07-02,Spain,Austria,3,0,0.656,0.241,0.103,home,home,True,0.6555306417189183,1-0,False
2026-07-02,Switzerland,Algeria,2,0,0.373,0.252,0.375,away,home,False,0.37279293058776114,1-1,False
2026-07-03,Argentina,Cape Verde,3,2,0.747,0.201,0.052,home,home,True,0.7471287312522525,2-0,False
2026-07-03,Australia,Egypt,1,1,0.337,0.322,0.342,away,draw,False,0.3216100964098331,1-1,True
2026-07-03,Colombia,Ghana,1,0,0.657,0.253,0.091,home,home,True,0.6566608365251924,2-0,False
2026-07-04,Canada,Morocco,0,3,0.183,0.313,0.504,away,away,True,0.5043843805305974,0-1,False
2026-07-04,Paraguay,France,0,1,0.124,0.205,0.671,away,away,True,0.6709296384109759,0-2,False
